Date,Close
12/15/2015,55.27
12/16/2015,56.03
12/17/2015,55.4
12/18/2015,54.49
12/21/2015,54.93
12/22/2015,55.46
12/23/2015,56.09
12/24/2015,56
12/28/2015,55.78
12/29/2015,56.35
12/30/2015,55.79
12/31/2015,55.06
1/4/2016,53.77
1/5/2016,53.94
1/6/2016,53.32
1/7/2016,51.95
1/8/2016,51.09
1/11/2016,51.09
1/12/2016,51.23
1/13/2016,49.83
1/14/2016,50.51
1/15/2016,49.91
1/19/2016,49.36
1/20/2016,49.47
1/21/2016,49.36
1/22/2016,50.41
1/25/2016,49.48
1/26/2016,50.66
1/27/2016,49.95
1/28/2016,50.08
1/29/2016,51.67
2/1/2016,51.49
2/2/2016,50.48
2/3/2016,50.6
2/4/2016,50.86
2/5/2016,49.7
2/8/2016,49.23
2/9/2016,48.99
2/10/2016,48.84
2/11/2016,48.28
2/12/2016,49.1
2/16/2016,50.19
2/17/2016,50.8
2/18/2016,50.71
2/19/2016,50.91
2/22/2016,51.51
2/23/2016,51.2
2/24/2016,51.69
2/25/2016,52.16
2/26/2016,52.4
2/29/2016,52.23
3/1/2016,53.21
3/2/2016,53.68
3/3/2016,54.26
3/4/2016,54.56
3/7/2016,55.19
3/8/2016,53.96
3/9/2016,54.26
3/10/2016,53.87
3/11/2016,54.99
3/14/2016,54.72
3/15/2016,54.03
3/16/2016,54.35
3/17/2016,55.29
3/18/2016,55.83
3/21/2016,55.66
3/22/2016,55.49
3/23/2016,54.42
3/24/2016,54.59
3/28/2016,54.65
3/29/2016,56.17
3/30/2016,56.23
3/31/2016,56.29
4/1/2016,56.43
4/4/2016,55.82
4/5/2016,55.14
4/6/2016,55.62
4/7/2016,54.85
4/8/2016,55.17
4/11/2016,55.03
4/12/2016,55.6
4/13/2016,56.81
4/14/2016,56.68
4/15/2016,56.82
4/18/2016,57.21
4/19/2016,57.42
4/20/2016,57.44
4/21/2016,56.98
4/22/2016,57.59
4/25/2016,57.1
4/26/2016,57.85
4/27/2016,58.12
4/28/2016,57.29
4/29/2016,56.96
5/2/2016,57.47
5/3/2016,56.61
5/4/2016,56.33
5/5/2016,55.99
5/6/2016,56.43
5/9/2016,56.42
5/10/2016,56.91
5/11/2016,56.19
5/12/2016,56.01
5/13/2016,55.56
5/16/2016,56.18
5/17/2016,55.23
5/18/2016,55.5
5/19/2016,55.07
5/20/2016,55.94
5/23/2016,55.77
5/24/2016,56.98
5/25/2016,57.29
5/26/2016,57.26
5/27/2016,57.77
5/31/2016,57.88
6/1/2016,58.3
6/2/2016,58.61
6/3/2016,58.28
6/6/2016,58.95
6/7/2016,59.14
6/8/2016,59.68
6/9/2016,59.37
6/10/2016,58.59
6/13/2016,57.94
6/14/2016,57.85
6/15/2016,57.84
6/16/2016,57.8
6/17/2016,57.65
6/20/2016,58.35
6/21/2016,58.08
6/22/2016,57.82
6/23/2016,59
6/24/2016,56.73
6/27/2016,54.98
6/28/2016,55.72
6/29/2016,56.85
6/30/2016,58.11
7/1/2016,58.19
7/5/2016,57.4
7/6/2016,57.79
7/7/2016,57.86
7/8/2016,59.27
7/11/2016,59.94
7/12/2016,60.74
7/13/2016,60.62
7/14/2016,60.64
7/15/2016,60.8
7/18/2016,60.83
7/19/2016,60.45
7/20/2016,60.83
7/21/2016,60.45
7/22/2016,60.89
7/25/2016,60.66
7/26/2016,61
7/27/2016,61.17
7/28/2016,60.92
7/29/2016,61.01
8/1/2016,61.05
8/2/2016,60.15
8/3/2016,60.46
8/4/2016,60.47
8/5/2016,61.31
8/8/2016,61.23
8/9/2016,61.25
8/10/2016,60.9
8/11/2016,61.2
8/12/2016,61.12
8/15/2016,61.71
8/16/2016,61.28
8/17/2016,61.08
8/18/2016,61.51
8/19/2016,61.49
8/22/2016,61.66
8/23/2016,62.08
8/24/2016,61.78
8/25/2016,61.96
8/26/2016,61.76
8/29/2016,62.12
8/30/2016,62.18
8/31/2016,61.86
9/1/2016,61.9
9/2/2016,62.64
9/6/2016,62.5
9/7/2016,62.88
9/8/2016,62.64
9/9/2016,60.81
9/12/2016,61.49
9/13/2016,60.44
9/14/2016,60.25
9/15/2016,60.98
9/16/2016,60.87
9/19/2016,61.26
9/20/2016,61.02
9/21/2016,61.96
9/22/2016,62.85
9/23/2016,62.44
9/26/2016,61.55
9/27/2016,61.64
9/28/2016,62.2
9/29/2016,61.43
9/30/2016,62.08
10/3/2016,61.92
10/4/2016,61.67
10/5/2016,62.02
10/6/2016,61.95
10/7/2016,61.45
10/10/2016,62.13
10/11/2016,61.11
10/12/2016,61.21
10/13/2016,60.61
10/14/2016,60.44
10/17/2016,60.34
10/18/2016,60.53
10/19/2016,60.78
10/20/2016,60.4
10/21/2016,60.23
10/24/2016,60.74
10/25/2016,60.17
10/26/2016,59.73
10/27/2016,59.11
10/28/2016,59
10/31/2016,59.34
11/1/2016,58.53
11/2/2016,57.96
11/3/2016,57.79
11/4/2016,58.07
11/7/2016,59.48
11/8/2016,59.62
11/9/2016,61.47
11/10/2016,62.63
11/11/2016,64.21
11/14/2016,65.19
11/15/2016,65.37
11/16/2016,65.4
11/17/2016,65.71
11/18/2016,66.02
11/21/2016,66.29
11/22/2016,67.14
11/23/2016,67.55
11/25/2016,67.83
11/28/2016,67.03
11/29/2016,67.01
11/30/2016,66.77
12/1/2016,66.56
12/2/2016,66.57
12/5/2016,67.72
12/6/2016,68.49
12/7/2016,69.2
12/8/2016,70.35
12/9/2016,70.5
12/12/2016,69.79
12/13/2016,69.86
12/14/2016,69
12/15/2016,69.64
12/16/2016,69.22
12/19/2016,69.61
12/20/2016,70.32
12/21/2016,69.66
12/22/2016,68.97
12/23/2016,69.28
12/27/2016,69.69
12/28/2016,68.88
12/29/2016,69.03
12/30/2016,68.76
1/3/2017,69.15
1/4/2017,70.3
1/5/2017,69.29
1/6/2017,68.9
1/9/2017,68.31
1/10/2017,68.92
1/11/2017,69.15
1/12/2017,68.41
1/13/2017,68.91
1/17/2017,68.02
1/18/2017,68.28
1/19/2017,67.63
1/20/2017,67.96
1/23/2017,67.73
1/24/2017,68.72
1/25/2017,69.49
1/26/2017,69.12
1/27/2017,68.83
1/30/2017,67.9
1/31/2017,68.36
2/1/2017,68.29
2/2/2017,67.95
2/3/2017,69.04
2/6/2017,68.4
2/7/2017,68.17
2/8/2017,68.06
2/9/2017,69.15
2/10/2017,69.71
2/13/2017,69.87
2/14/2017,70.03
2/15/2017,70.44
2/16/2017,70.3
2/17/2017,70.2
2/21/2017,70.81
2/22/2017,70.56
2/23/2017,70.06
2/24/2017,70.04
2/27/2017,70.59
2/28/2017,69.46
3/1/2017,70.74
3/2/2017,69.97
3/3/2017,69.77
3/6/2017,69.29
3/7/2017,68.8
3/8/2017,68.35
3/9/2017,67.96
3/10/2017,68.3
3/13/2017,68.51
3/14/2017,68.19
3/15/2017,69.27
3/16/2017,69.4
3/17/2017,69.79
3/20/2017,69.41
3/21/2017,67.57
3/22/2017,67.46
3/23/2017,67.89
3/24/2017,67.66
3/27/2017,67.73
3/28/2017,68.27
3/29/2017,68.45
3/30/2017,69.03
3/31/2017,69.16
4/3/2017,67.89
4/4/2017,67.94
4/5/2017,67.2
4/6/2017,67.85
4/7/2017,67.84
4/10/2017,68.05
4/11/2017,68.69
4/12/2017,67.69
4/13/2017,66.9
4/17/2017,67.66
4/18/2017,67.72
4/19/2017,68.1
4/20/2017,69.04
4/21/2017,68.86
4/24/2017,69.72
4/25/2017,70.34
4/26/2017,70.8
4/27/2017,70.73
4/28/2017,69.79
5/1/2017,70.16
5/2/2017,69.87
5/3/2017,69.44
5/4/2017,69.38
5/5/2017,69.69
5/8/2017,69.44
5/9/2017,69.53
5/10/2017,69.91
5/11/2017,69.39
5/12/2017,68.84
5/15/2017,69.28
5/16/2017,69.28
5/17/2017,67.54
5/18/2017,67.64
5/19/2017,67.95
5/22/2017,68.49
5/23/2017,68.72
5/24/2017,68.69
5/25/2017,68.78
5/26/2017,68.77
5/30/2017,68.38
5/31/2017,68.33
6/1/2017,69.52
6/2/2017,69.97
6/5/2017,69.51
6/6/2017,69.41
6/7/2017,69.52
6/8/2017,70.46
6/9/2017,71.04
6/12/2017,70.89
6/13/2017,71.23
6/14/2017,70.79
6/15/2017,70.45
6/16/2017,70.07
6/19/2017,70.39
6/20/2017,69.55
6/21/2017,69.23
6/22/2017,69.48
6/23/2017,70.07
6/26/2017,70.2
6/27/2017,69.47
6/28/2017,70.59
6/29/2017,70.15
6/30/2017,70.11
7/3/2017,70.77
7/5/2017,70.35
7/6/2017,69.38
7/7/2017,70.11
7/10/2017,69.69
7/11/2017,69.85
7/12/2017,70.38
7/13/2017,70.55
7/14/2017,70.73
7/17/2017,70.91
7/18/2017,70.69
7/19/2017,71.5
7/20/2017,71.6
7/21/2017,71.25
7/24/2017,71.26
7/25/2017,71.93
7/26/2017,71.44
7/27/2017,71.11
7/28/2017,71
7/31/2017,70.81
8/1/2017,71.02
8/2/2017,70.1
8/3/2017,69.86
8/4/2017,70.14
8/7/2017,70.07
8/8/2017,69.88
8/9/2017,69.29
8/10/2017,68.22
8/11/2017,68.2
8/14/2017,69.21
8/15/2017,68.53
8/16/2017,68.62
8/17/2017,67.29
8/18/2017,67.17
8/21/2017,67.08
8/22/2017,67.73
8/23/2017,67.55
8/24/2017,67.64
8/25/2017,67.97
8/28/2017,68.04
8/29/2017,68.02
8/30/2017,68.4
8/31/2017,69.07
9/1/2017,69.56
9/5/2017,68.84
9/6/2017,69.05
9/7/2017,68.85
9/8/2017,68.95
9/11/2017,69.69
9/12/2017,70.2
9/13/2017,70.43
9/14/2017,70.4
9/15/2017,70.78
9/18/2017,71.34
9/19/2017,71.19
9/20/2017,71.45
9/21/2017,71.49
9/22/2017,71.95
9/25/2017,72.17
9/26/2017,72.31
9/27/2017,73.79
9/28/2017,73.99
9/29/2017,74.22
10/2/2017,75.23
10/3/2017,75.4
10/4/2017,75.07
10/5/2017,75.23
10/6/2017,75.1
10/9/2017,74.75
10/10/2017,74.93
10/11/2017,74.71
10/12/2017,74.62
10/13/2017,74.59
10/16/2017,74.47
10/17/2017,74.29
10/18/2017,74.78
10/19/2017,74.62
10/20/2017,74.98
10/23/2017,74.61
10/24/2017,74.82
10/25/2017,74.43
10/26/2017,74.78
10/27/2017,75.18
10/30/2017,74.12
10/31/2017,74.86
11/1/2017,74.33
11/2/2017,74.42
11/3/2017,73.94
11/6/2017,74.1
11/7/2017,73.3
11/8/2017,73.63
11/9/2017,73.29
11/10/2017,73.35
11/13/2017,73.48
11/14/2017,73.46
11/15/2017,73.06
11/16/2017,74.31
11/17/2017,74.63
11/20/2017,75.2
11/21/2017,76.22
11/22/2017,76.06
11/24/2017,76.11
11/27/2017,75.74
11/28/2017,77.03
11/29/2017,77.5
11/30/2017,77.48
12/1/2017,77.02
12/4/2017,77.06
12/5/2017,76.25
12/6/2017,75.92
12/7/2017,76.3
12/8/2017,76.25
12/11/2017,76.04
12/12/2017,75.86
12/13/2017,76.24
12/14/2017,75.37
12/15/2017,76.63
12/18/2017,77.74
12/19/2017,76.78
12/20/2017,76.95
12/21/2017,77.26
12/22/2017,77.06
12/26/2017,77.13
12/27/2017,77.04
12/28/2017,77.35
12/29/2017,76.81
1/2/2018,77.39
1/3/2018,77.32
1/4/2018,77.53
1/5/2018,77.86
1/8/2018,77.98
1/9/2018,77.9
1/10/2018,77.77
1/11/2018,79.2
1/12/2018,79.56
1/16/2018,78.77
1/17/2018,79.56
1/18/2018,78.91
1/19/2018,80.06
1/22/2018,80.26
1/23/2018,80.34
1/24/2018,79.87
1/25/2018,80.09
1/26/2018,80.36
1/29/2018,79.91
1/30/2018,79.17
1/31/2018,78.74
2/1/2018,79.07
2/2/2018,77.5
2/5/2018,74.45
2/6/2018,75.38
2/7/2018,75.42
2/8/2018,73.35
2/9/2018,74.14
2/12/2018,74.86
2/13/2018,74.91
2/14/2018,76.29
2/15/2018,77.06
2/16/2018,77.33
2/20/2018,76.66
2/21/2018,76.83
2/22/2018,76.77
2/23/2018,77.76
2/26/2018,78.29
2/27/2018,77.15
2/28/2018,75.74
3/1/2018,75.43
3/2/2018,76.67
3/5/2018,77.23
3/6/2018,78.16
3/7/2018,78.73
3/8/2018,78.61
3/9/2018,79.81
3/12/2018,80.11
3/13/2018,79.85
3/14/2018,79.47
3/15/2018,79.12
3/16/2018,79.71
3/19/2018,79.01
3/20/2018,78.99
3/21/2018,79.33
3/22/2018,77.46
3/23/2018,75.79
3/26/2018,77.5
3/27/2018,76.19
3/28/2018,76.29
3/29/2018,77.01
4/2/2018,75.25
4/3/2018,76.38
4/4/2018,77.34
4/5/2018,78.17
4/6/2018,76.76
4/9/2018,76.56
4/10/2018,78.01
4/11/2018,78.14
4/12/2018,78.53
4/13/2018,78.25
4/16/2018,79.12
4/17/2018,79.87
4/18/2018,80.16
4/19/2018,79.53
4/20/2018,79.06
4/23/2018,79.03
4/24/2018,78.66
4/25/2018,78.53
4/26/2018,78.78
4/27/2018,78.52
4/30/2018,77.82
5/1/2018,78.16
5/2/2018,78.35
5/3/2018,77.87
5/4/2018,78.83
5/7/2018,79.44
5/8/2018,80.12
5/9/2018,80.57
5/10/2018,81
5/11/2018,81.13
5/14/2018,80.78
5/15/2018,80.82
5/16/2018,81.78
5/17/2018,82.28
5/18/2018,82.28
5/21/2018,83.21
5/22/2018,82.53
5/23/2018,82.61
5/24/2018,82.63
5/25/2018,82.51
5/29/2018,82.56
5/30/2018,83.72
5/31/2018,82.84
6/1/2018,83.41
6/4/2018,84.37
6/5/2018,84.98
6/6/2018,85.52
6/7/2018,85.2
6/8/2018,85.41
6/11/2018,85.65
6/12/2018,85.74
6/13/2018,85.23
6/14/2018,85.52
6/15/2018,85.55
6/18/2018,86.05
6/19/2018,85.97
6/20/2018,86.64
6/21/2018,85.78
6/22/2018,85.76
6/25/2018,84.43
6/26/2018,84.7
6/27/2018,83.51
