Date,Close
12/16/2019,82.64
12/17/2019,83.35
12/18/2019,83.64
12/19/2019,83.9
12/20/2019,83.77
12/23/2019,83.91
12/24/2019,84.14
12/26/2019,84.03
12/27/2019,83.65
12/30/2019,83.6
12/31/2019,83.85
1/2/2020,83.91
1/3/2020,83.86
1/6/2020,83.78
1/7/2020,83.3
1/8/2020,83.48
1/9/2020,83.46
1/10/2020,83.07
1/13/2020,83.76
1/14/2020,84.07
1/15/2020,84.43
1/16/2020,85.52
1/17/2020,85.37
1/21/2020,84.57
1/22/2020,84.57
1/23/2020,84.75
1/24/2020,83.43
1/27/2020,82.51
1/28/2020,83.1
1/29/2020,82.53
1/30/2020,82.44
1/31/2020,80.48
2/3/2020,81.24
2/4/2020,82.26
2/5/2020,83.83
2/6/2020,83.6
2/7/2020,82.34
2/10/2020,82.61
2/11/2020,83.29
2/12/2020,83.85
2/13/2020,84.13
2/14/2020,83.68
2/18/2020,83.23
2/19/2020,83.55
2/20/2020,83.99
2/21/2020,83.02
2/24/2020,80.57
2/25/2020,77.85
2/26/2020,76.86
2/27/2020,74
2/28/2020,72.79
3/2/2020,74.65
3/3/2020,73.08
3/4/2020,75.34
3/5/2020,72.65
3/6/2020,71.35
3/9/2020,64.37
3/10/2020,66.28
3/11/2020,62.31
3/12/2020,55.24
3/13/2020,59.48
3/16/2020,52.48
3/17/2020,55.11
3/18/2020,50
3/19/2020,51.72
3/20/2020,49.78
3/23/2020,49.11
3/24/2020,53.38
3/25/2020,53.59
3/26/2020,57.27
3/27/2020,54.96
3/30/2020,56.25
3/31/2020,56.11
4/1/2020,52.19
4/2/2020,52.92
4/3/2020,50.99
4/6/2020,55.15
4/7/2020,55.48
4/8/2020,58.01
4/9/2020,61.02
4/13/2020,58.92
4/14/2020,59.95
4/15/2020,57.2
4/16/2020,56.74
4/17/2020,59.32
4/20/2020,58.13
4/21/2020,56.89
4/22/2020,57.29
4/23/2020,58.01
4/24/2020,58.72
4/27/2020,61.22
4/28/2020,62.58
4/29/2020,66.07
4/30/2020,63.35
5/1/2020,60.74
5/4/2020,60.52
5/5/2020,60.68
5/6/2020,59.96
5/7/2020,60.81
5/8/2020,63.39
5/11/2020,62.23
5/12/2020,59.92
5/13/2020,57.62
5/14/2020,57.84
5/15/2020,58.62
5/18/2020,62.8
5/19/2020,61.52
5/20/2020,63.44
5/21/2020,63.5
5/22/2020,63.76
5/26/2020,66.39
5/27/2020,68.98
5/28/2020,66.94
5/29/2020,66.14
6/1/2020,66.87
6/2/2020,67.63
6/3/2020,69.94
6/4/2020,70.88
6/5/2020,73.98
6/8/2020,75.55
6/9/2020,73.71
6/10/2020,71.03
6/11/2020,65.23
6/12/2020,66.88
6/15/2020,68.12
6/16/2020,69.85
6/17/2020,68.33
6/18/2020,68.06
6/19/2020,67.17
6/22/2020,67.76
6/23/2020,67.97
6/24/2020,65.61
6/25/2020,66.63
6/26/2020,64.64
6/29/2020,67.39
6/30/2020,68.29
7/1/2020,67.31
7/2/2020,67.69
7/6/2020,68.33
7/7/2020,66.95
7/8/2020,67.23
7/9/2020,65.69
7/10/2020,67.15
7/13/2020,66.5
7/14/2020,67.59
7/15/2020,70.18
7/16/2020,69.69
7/17/2020,69.7
7/20/2020,69.15
7/21/2020,70.69
7/22/2020,70.75
7/23/2020,71.24
7/24/2020,70.03
7/27/2020,70.83
7/28/2020,70.34
7/29/2020,72.12
7/30/2020,71.67
7/31/2020,71.21
8/3/2020,72.02
8/4/2020,72.44
8/5/2020,74.1
8/6/2020,73.69
8/7/2020,75.03
8/10/2020,75.78
8/11/2020,75.7
8/12/2020,75.96
8/13/2020,75.52
8/14/2020,75.49
8/17/2020,75.61
8/18/2020,74.7
8/19/2020,74.69
8/20/2020,74.09
8/21/2020,73.61
8/24/2020,74.94
8/25/2020,74.88
8/26/2020,74.25
8/27/2020,74.51
8/28/2020,75.08
8/31/2020,73.97
9/1/2020,74.82
9/2/2020,75.68
9/3/2020,73.8
9/4/2020,73.41
9/8/2020,71.63
9/9/2020,72.44
9/10/2020,71.47
9/11/2020,70.98
9/14/2020,72.21
9/15/2020,72.23
9/16/2020,72.72
9/17/2020,72.14
9/18/2020,71.73
9/21/2020,69.24
9/22/2020,69.65
9/23/2020,67.5
9/24/2020,67.77
9/25/2020,68.48
9/28/2020,70.43
9/29/2020,70.03
9/30/2020,70.23
10/1/2020,71.23
10/2/2020,71.92
10/5/2020,73.53
10/6/2020,73.51
10/7/2020,74.56
10/8/2020,75.68
10/9/2020,76.08
10/12/2020,76.59
10/13/2020,75.73
10/14/2020,75.3
10/15/2020,76.27
10/16/2020,75.83
10/19/2020,75
10/20/2020,75.51
10/21/2020,75.09
10/22/2020,76.32
10/23/2020,76.68
10/26/2020,75.09
10/27/2020,74.11
10/28/2020,71.84
10/29/2020,72.95
10/30/2020,72.02
11/2/2020,73.54
11/3/2020,75.39
11/4/2020,74.67
11/5/2020,76.86
11/6/2020,76.11
11/9/2020,79.78
11/10/2020,81.88
11/11/2020,81.34
11/12/2020,79.6
11/13/2020,81.73
11/16/2020,84.19
11/17/2020,84.66
11/18/2020,83.48
11/19/2020,83.97
11/20/2020,83.88
11/23/2020,85.83
11/24/2020,87.93
11/25/2020,87.24
11/27/2020,87.09
11/30/2020,85.14
12/1/2020,86.08
12/2/2020,86.48
12/3/2020,87.05
12/4/2020,89.21
12/7/2020,88.99
12/8/2020,89.65
12/9/2020,89.7
12/10/2020,90.12
12/11/2020,89.39
12/14/2020,88.94
